Category,Card
Natural Disasters +ACY- Climate Events (Yellow),Locust swarms destroy harvests.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Climate refugees flood border regions.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Windstorm destroys solar farms.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Crops rot due to sudden frost.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Tsunami strikes densely populated coastline.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Famine declared in drought+AC0-stricken region.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Crops rot due to sudden frost.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Climate refugees flood border regions.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Tsunami strikes densely populated coastline.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),+ACI-River dries up, devastating agriculture.(Use Card Value)+ACI-
Natural Disasters +ACY- Climate Events (Yellow),Sandstorms halt supply convoys.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Mudslides destroy mountain towns.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Mudslides destroy mountain towns.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Water crisis causes rationing and riots.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Famine declared in drought+AC0-stricken region.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Sandstorms halt supply convoys.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Locust swarms destroy harvests.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Water crisis causes rationing and riots.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Nation loses crops to dust storms.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Glacier collapse threatens hydroelectric dam.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Environmental protests block fossil fuel terminals.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Toxic waste spill poisons river systems.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Fishery collapse disrupts global food chain.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Extreme cold wave damages infrastructure.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Category 5 hurricane devastates coastal region.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Nationwide drought causes massive crop failure.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Wildfires spread uncontrollably due to extreme heat.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Global food shortage sparks international panic. (x2 multiplier)
Natural Disasters +ACY- Climate Events (Yellow),Historic flooding submerges critical infrastructure.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Category 5 hurricane devastates coastal region.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Nationwide drought causes massive crop failure.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Wildfires spread uncontrollably due to extreme heat.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Global food shortage sparks international panic. (x2 multiplier)
Civil Discord +ACY- Identity Politics (Blue),Mass shooting sparks gun reform protests.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Outlawed protest becomes national holiday.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),State bans books on race and gender.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Hacktivist group leaks racial profiling database.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Students occupy government buildings.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Clashes erupt at pride parade.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Freedom of assembly suspended.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Religious law imposed in secular region.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Religious minority attacked during public holiday.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Conspiracy theories go viral online.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Political dissident disappears mysteriously.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Military refuses to intervene in civilian unrest. (x1.5 multiplier)
Civil Discord +ACY- Identity Politics (Blue),Cultural monument defaced during protest.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Banned political party wins underground support.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Transgender rights clash with religious law.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Hate crimes surge after controversial trial.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Journalists arrested during live broadcast.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Police shooting leads to racial unrest in major cities.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Protesters shut down major highways.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Protesters shut down major highways.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Journalist imprisoned for exposing corruption.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),National anthem law sparks backlash.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Mass resignations from education sector.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),+ACI-Police unions walk out, creating chaos.(Use Card Value)+ACI-
Civil Discord +ACY- Identity Politics (Blue),Paramilitary group patrols minority neighborhoods.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Gender laws divide the population.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Gender laws divide the population.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Urban areas declare autonomy from federal law.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Paramilitary group patrols minority neighborhoods.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Urban areas declare autonomy from federal law.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Student protests erupt over tuition hikes.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Student protests erupt over tuition hikes.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Mass resignations from education sector.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),+ACI-Police unions walk out, creating chaos.(Use Card Value)+ACI-
Civil Discord +ACY- Identity Politics (Blue),Controversial bill passed in secret session. (x2 multiplier)
Civil Discord +ACY- Identity Politics (Blue),Aaron Swartz remembered as symbol of free knowledge.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Nationwide protests over government surveillance.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Public mourns whistleblower imprisoned for leaks.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Ross Ulbricht+IBk-s case reignites debate on digital freedom.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Student journalists expose corruption scandal.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),+ACI-Banned social platform returns, sparking unrest.(Use Card Value)+ACI-
Civil Discord +ACY- Identity Politics (Blue),Surveillance drone footage leaked by activist.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Unilateral curfew imposed after online dissent.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Religious minority attacked during public holiday.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Ethnic tensions flare as political party targets immigrants. (x2 multiplier)
Civil Discord +ACY- Identity Politics (Blue),Homosexual college student brutally murdered.(Use Card Value) +AFs-Memory of Matthew Shepard+AF0-
Civil Discord +ACY- Identity Politics (Blue),Censorship of online activists triggers mass protest.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Police shooting leads to racial unrest in major cities.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Religious minority attacked during public holiday.(Use Card Value)
Civil Discord +ACY- Identity Politics (Blue),Ethnic tensions flare as political party targets immigrants. (x2 multiplier)
Global Influence +ACY- Foreign Interference (Purple),Foreign nation funds domestic disinfo network.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),UN issues sanctions over civil rights abuses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Trade deal collapses amid trust breakdown.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Espionage scandal rocks diplomatic ties. (x1.5 multiplier)
Global Influence +ACY- Foreign Interference (Purple),Military base compromised by drone strike.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign leader assassinated by rogue state.(+-5)
Global Influence +ACY- Foreign Interference (Purple),Diplomatic ties restored after hostage crisis. (+AC0-1)
Global Influence +ACY- Foreign Interference (Purple),Proxy war escalates in strategic border region. (x2 multiplier)
Global Influence +ACY- Foreign Interference (Purple),Space arms treaty collapses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Nation joins rival military alliance.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Nation accused of ethnic cleansing by UN.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Spy satellite intercepted by rival nation.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Trade route blockade raises global prices.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Cyberattack disrupts banking infrastructure.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Top diplomat defects and releases tapes.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Border conflict draws in allies.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Border conflict draws in allies.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Overseas embassy stormed.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),International watchdog exposes human rights abuses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),War games spark panic among neighbors.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Cyberattack disables water supply systems.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),International watchdog exposes human rights abuses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Fake summit misleads global markets.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign aid cuts cause local unrest.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign diplomats expelled for espionage.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Ambassador kidnapped in warzone.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Media broadcasts intercepted by foreign signal.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign diplomats expelled for espionage.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign aid cuts cause local unrest.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Nuclear treaty violation confirmed.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),War games spark panic among neighbors.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Nuclear treaty violation confirmed.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Media broadcasts intercepted by foreign signal.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Cyberattack disables water supply systems.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Ally continues arms sales to nation committing genocide.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Country accused of shielding war criminals.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),UN fails to pass ceasefire resolution.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Unilateralism isolates nation from allies.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign leader visits embargoed nation.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Election interference confirmed via digital footprint.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Multinational summit collapses over climate dispute.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Leaked intelligence reveals cyber black ops.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Proxy war escalates in strategic border region. (x2 multiplier)
Global Influence +ACY- Foreign Interference (Purple),Allied nation imposes sanctions over civil rights abuses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Fake news campaign destabilizes trust in media.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Whistleblower leaks surveillance documents.(Use Card Value) +AFs-Thank You Edward Snowden+AF0-
Global Influence +ACY- Foreign Interference (Purple),Foreign hackers breach electoral commission systems.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Proxy war escalates in strategic border region. (x2 multiplier)
Global Influence +ACY- Foreign Interference (Purple),Allied nation imposes sanctions over civil rights abuses.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Fake news campaign destabilizes trust in media.(Use Card Value)
Global Influence +ACY- Foreign Interference (Purple),Foreign disinformation campaign targets opponent. (Choose a player to gain +-3 unrest. You gain +-1 unrest)
Global Influence +ACY- Foreign Interference (Purple),+ACI-International aid package diverts focus. (Remove 2 unrest from yourself, assign +-1 unrest to two other players)+ACI-
Global Influence +ACY- Foreign Interference (Purple),Global treaty bypasses national law. (You gain +-2 unrest. One player of your choice loses 2 unrest)
Global Influence +ACY- Foreign Interference (Purple),Foreign agent exposed in government. (Swap unrest totals with a player within +ALE-5 unrest points)
Global Influence +ACY- Foreign Interference (Purple),Proxy conflict spills over borders. (All other players gain +-2 unrest)
Global Influence +ACY- Foreign Interference (Purple),Multinational scandal erodes trust. (All players draw an extra Purple card on their next Purple space)
Global Influence +ACY- Foreign Interference (Purple),Cyberwar offensive redirected. (Transfer your next Purple card effect to another player)
Global Influence +ACY- Foreign Interference (Purple),+ACI-Espionage revelation sparks backlash. (All players must discard one held card, if any)+ACI-
Global Influence +ACY- Foreign Interference (Purple),Surge in elderly population strains healthcare.(Use Card Value)
Demographics +ACY- Immigration (Orange),Foreign+AC0-born students dominate tech sector.(Use Card Value)
Demographics +ACY- Immigration (Orange),Baby bonus leads to birth rate rebound. (+AC0-1)
Demographics +ACY- Immigration (Orange),New citizenship law leads to protests.(Use Card Value)
Demographics +ACY- Immigration (Orange),Border wall collapses amid political scandal. (x2 multiplier)
Demographics +ACY- Immigration (Orange),Rural areas depopulate rapidly.(Use Card Value)
Demographics +ACY- Immigration (Orange),+ACI-Population growth freezes, causing economic fears.(Use Card Value)+ACI-
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),New law revokes citizenship for foreign+AC0-born residents.(Use Card Value)
Demographics +ACY- Immigration (Orange),Tech jobs attract massive immigration wave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Rural exodus leaves farmland unworked.(Use Card Value)
Demographics +ACY- Immigration (Orange),New law revokes citizenship for foreign+AC0-born residents.(Use Card Value)
Demographics +ACY- Immigration (Orange),Populist party campaigns on ethnic purity.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility clinics shut down amid scandal.(Use Card Value)
Demographics +ACY- Immigration (Orange),Family size restrictions met with resistance.(Use Card Value)
Demographics +ACY- Immigration (Orange),Protesters oppose refugee housing in suburbs.(Use Card Value)
Demographics +ACY- Immigration (Orange),Ban on foreign languages in schools.(Use Card Value)
Demographics +ACY- Immigration (Orange),Rural exodus leaves farmland unworked.(Use Card Value)
Demographics +ACY- Immigration (Orange),Mass deportations provoke international outcry.(Use Card Value)
Demographics +ACY- Immigration (Orange),Foreign students denied graduation visas.(Use Card Value)
Demographics +ACY- Immigration (Orange),Border state declares emergency.(Use Card Value)
Demographics +ACY- Immigration (Orange),Climate migration overwhelms border towns.(Use Card Value)
Demographics +ACY- Immigration (Orange),Immigrant detention centers overflow.(Use Card Value)
Demographics +ACY- Immigration (Orange),Birth rates collapse in tech+AC0-heavy cities.(Use Card Value)
Demographics +ACY- Immigration (Orange),National ID law stirs ethnic backlash.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee children denied access to public schools.(Use Card Value)
Demographics +ACY- Immigration (Orange),Military deployed to border for optics.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Demographics +ACY- Immigration (Orange),Public schools close due to low birth rate.(Use Card Value)
Demographics +ACY- Immigration (Orange),Family reunification policy causes political split. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Cultural festival banned by nationalist law.(Use Card Value)
Demographics +ACY- Immigration (Orange),National census reveals ethnic imbalance.(Use Card Value)
Demographics +ACY- Immigration (Orange),Mass emigration strains education system.(Use Card Value)
Demographics +ACY- Immigration (Orange),Tech sector hires thousands of foreign workers.(Use Card Value)
Demographics +ACY- Immigration (Orange),Immigrant labor force boycotts for fair wages.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Surge in elderly population strains healthcare.(Use Card Value)
Demographics +ACY- Immigration (Orange),Foreign+AC0-born students dominate tech sector.(Use Card Value)
Demographics +ACY- Immigration (Orange),Baby bonus leads to birth rate rebound. (+AC0-1)
Demographics +ACY- Immigration (Orange),New citizenship law leads to protests.(Use Card Value)
Demographics +ACY- Immigration (Orange),Border wall collapses amid political scandal. (x2 multiplier)
Demographics +ACY- Immigration (Orange),Rural areas depopulate rapidly.(Use Card Value)
Demographics +ACY- Immigration (Orange),+ACI-Population growth freezes, causing economic fears.(Use Card Value)+ACI-
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),New law revokes citizenship for foreign+AC0-born residents.(Use Card Value)
Demographics +ACY- Immigration (Orange),Tech jobs attract massive immigration wave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Rural exodus leaves farmland unworked.(Use Card Value)
Demographics +ACY- Immigration (Orange),New law revokes citizenship for foreign+AC0-born residents.(Use Card Value)
Demographics +ACY- Immigration (Orange),Populist party campaigns on ethnic purity.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility clinics shut down amid scandal.(Use Card Value)
Demographics +ACY- Immigration (Orange),Family size restrictions met with resistance.(Use Card Value)
Demographics +ACY- Immigration (Orange),Protesters oppose refugee housing in suburbs.(Use Card Value)
Demographics +ACY- Immigration (Orange),Ban on foreign languages in schools.(Use Card Value)
Demographics +ACY- Immigration (Orange),Rural exodus leaves farmland unworked.(Use Card Value)
Demographics +ACY- Immigration (Orange),Mass deportations provoke international outcry.(Use Card Value)
Demographics +ACY- Immigration (Orange),Foreign students denied graduation visas.(Use Card Value)
Demographics +ACY- Immigration (Orange),Border state declares emergency.(Use Card Value)
Demographics +ACY- Immigration (Orange),Climate migration overwhelms border towns.(Use Card Value)
Demographics +ACY- Immigration (Orange),Immigrant detention centers overflow.(Use Card Value)
Demographics +ACY- Immigration (Orange),Birth rates collapse in tech+AC0-heavy cities.(Use Card Value)
Demographics +ACY- Immigration (Orange),National ID law stirs ethnic backlash.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee children denied access to public schools.(Use Card Value)
Demographics +ACY- Immigration (Orange),Military deployed to border for optics.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Demographics +ACY- Immigration (Orange),Aging population puts strain on pensions.(Use Card Value)
Demographics +ACY- Immigration (Orange),Brain drain accelerates as skilled workers leave.(Use Card Value)
Demographics +ACY- Immigration (Orange),Refugee wave overwhelms border control systems.(Use Card Value)
Demographics +ACY- Immigration (Orange),Fertility rate drops below replacement level. (x1.5 multiplier)
Demographics +ACY- Immigration (Orange),Rising nationalism sparks anti+AC0-immigration legislation.(Use Card Value)
Resource Tokens Reform (Red),Medical innovation reduces public fear. (+AC0-2)
Resource Tokens Reform (Red),Social media literacy campaign strengthens trust. (+AC0-1)
Resource Tokens Reform (Red),Peace accord signed after decades of unrest. (+AC0-3)
Resource Tokens Reform (Red),National broadband initiative boosts access. (+AC0-1)
Resource Tokens Reform (Red),Universal healthcare rollout restores stability. (+AC0-2)
Resource Tokens Reform (Red),Community housing cuts urban tension. (+AC0-3)
Resource Tokens Reform (Red),Reforestation campaign improves climate morale. (+AC0-2)
Resource Tokens Reform (Red),Public transport becomes free in urban areas. (+AC0-2)
Resource Tokens Reform (Red),Community gardens improve food security. (+AC0-2)
Resource Tokens Reform (Red),Whistleblower protections increase trust in government. (+AC0-1)
Resource Tokens Reform (Red),Vaccination campaign restores health infrastructure. (+AC0-2)
Resource Tokens Reform (Red),Solar energy adoption reaches 50+ACU- nationwide. (+AC0-2)
Resource Tokens Reform (Red),Digital currency pilot increases financial inclusion. (+AC0-1)
Resource Tokens Reform (Red),Tech literacy training expands public access. (+AC0-1)
Resource Tokens Reform (Red),Mental health funding reduces crime. (+AC0-2)
Resource Tokens Reform (Red),Worker+AC0-owned businesses gain popularity. (+AC0-2)
